country;countryname;edate;date;threshold;threshold_lagged;Distrikter;Antal_pladser
42;Austria;05-10-1975;197510;1,171875;1,171875;9;183
42;Austria;06-05-1979;197905;1,171875;1,171875;9;183
42;Austria;24-04-1983;198304;1,171875;1,171875;9;183
42;Austria;23-11-1986;198611;1,171875;1,171875;9;183
42;Austria;07-10-1990;199010;1,171875;1,171875;9;183
42;Austria;09-10-1994;199410;4;1,171875;9;183
42;Austria;17-12-1995;199512;4;4;9;183
42;Austria;03-10-1999;199910;4;4;9;183
42;Austria;24-11-2002;200211;4;4;9;183
42;Austria;01-10-2006;200610;4;4;9;183
42;Austria;28-09-2008;200809;4;4;9;183
42;Austria;29-09-2013;201309;4;4;9;183
42;Austria;15-10-2017;201710;4;4;9;183
42;Austria;29-09-2019;201909;4;4;9;183
80;Bulgaria;18-12-1994;199412;4;4;;
80;Bulgaria;19-04-1997;199704;4;4;;
80;Bulgaria;18-06-2001;200106;4;4;;
80;Bulgaria;25-06-2005;200506;4;4;;
80;Bulgaria;05-07-2009;200907;4;4;;
80;Bulgaria;12-05-2013;201305;4;4;;
80;Bulgaria;05-10-2014;201410;4;4;;
80;Bulgaria;26-03-2017;201703;4;4;;
81;Croatia;03-01-2000;200001;1,58113883;1,58113883;10;140
81;Croatia;23-11-2003;200311;1,58113883;1,58113883;10;140
81;Croatia;25-11-2007;200711;1,58113883;1,58113883;10;140
81;Croatia;04-12-2011;201112;1,58113883;1,58113883;10;140
81;Croatia;11-09-2016;201609;1,58113883;1,58113883;10;140
81;Croatia;05-07-2020;202007;1,58113883;1,58113883;10;140
82;Czech Republic;19-06-1998;199806;5;5;;
82;Czech Republic;14-06-2002;200206;5;5;;
82;Czech Republic;03-06-2006;200606;5;5;;
82;Czech Republic;29-05-2010;201005;5;5;;
82;Czech Republic;26-10-2013;201310;5;5;;
82;Czech Republic;21-10-2017;201710;5;5;;
13;Denmark;09-01-1975;197501;2,034427118;;17;135
13;Denmark;15-02-1977;197702;2,034427118;2,034427118;17;135
13;Denmark;23-10-1979;197910;2,034427118;2,034427118;17;135
13;Denmark;08-12-1981;198112;2,034427118;2,034427118;17;135
13;Denmark;10-01-1984;198401;2,034427118;2,034427118;17;135
13;Denmark;08-09-1987;198709;2,034427118;2,034427118;17;135
13;Denmark;10-05-1988;198805;2,034427118;2,034427118;17;135
13;Denmark;12-12-1990;199012;2,034427118;2,034427118;17;135
13;Denmark;21-09-1994;199409;2,034427118;2,034427118;17;135
13;Denmark;11-03-1998;199803;2,034427118;2,034427118;17;135
13;Denmark;20-11-2001;200111;2,034427118;2,034427118;17;135
13;Denmark;08-02-2005;200502;2,034427118;2,034427118;17;135
13;Denmark;13-11-2007;200711;1,635660859;2,034427118;10;135
13;Denmark;15-09-2011;201109;1,635660859;1,635660859;10;135
13;Denmark;18-06-2015;201506;1,635660859;1,635660859;10;135
13;Denmark;05-06-2019;201906;1,635660859;1,635660859;10;135
83;Estonia;07-03-1999;199903;5;5;;
83;Estonia;02-03-2003;200303;5;5;;
83;Estonia;04-03-2007;200703;5;5;;
83;Estonia;06-03-2011;201103;5;5;;
83;Estonia;01-03-2015;201503;5;5;;
83;Estonia;03-03-2019;201903;5;5;;
14;Finland;22-09-1975;197509;1,351040702;1,351040702;15;200
14;Finland;13-03-1979;197903;1,351040702;1,351040702;15;200
14;Finland;21-03-1983;198303;1,351040702;1,351040702;15;200
14;Finland;16-03-1987;198703;1,351040702;1,351040702;15;200
14;Finland;22-09-1975;197509;1,351040702;1,351040702;15;200
14;Finland;13-03-1979;197903;1,351040702;1,351040702;15;200
14;Finland;21-03-1983;198303;1,351040702;1,351040702;15;200
14;Finland;16-03-1987;198703;1,351040702;1,351040702;15;200
14;Finland;17-03-1991;199103;1,351040702;1,351040702;15;200
14;Finland;19-03-1995;199503;1,351040702;1,351040702;15;200
14;Finland;21-03-1999;199903;1,351040702;1,351040702;15;200
14;Finland;16-03-2003;200303;1,351040702;1,351040702;15;200
14;Finland;18-03-2007;200703;1,351040702;1,351040702;15;200
14;Finland;17-04-2011;201104;1,351040702;1,351040702;15;200
14;Finland;19-04-2015;201504;1,351040702;1,351040702;15;200
14;Finland;14-04-2019;201904;1,351040702;1,351040702;15;200
41;Germany;03-10-1976;197610;5;5;;
41;Germany;05-10-1980;198010;5;5;;
41;Germany;06-03-1983;198303;5;5;;
41;Germany;25-01-1987;198701;5;5;;
41;Germany;02-12-1990;199012;5;5;;
41;Germany;16-10-1994;199410;5;5;;
41;Germany;27-09-1998;199809;5;5;;
41;Germany;22-09-2002;200209;5;5;;
41;Germany;18-09-2005;200509;5;5;;
41;Germany;27-09-2009;200909;5;5;;
41;Germany;22-09-2013;201309;5;5;;
41;Germany;24-09-2017;201709;5;5;;
41;Germany;26-09-2021;202109;5;5;;
34;Greece;17-11-1974;197411;1,576541034;1,576541034;56;300
34;Greece;20-11-1977;197711;1,576541034;1,576541034;56;300
34;Greece;18-10-1981;198110;1,576541034;1,576541034;56;300
34;Greece;02-06-1985;198506;1,576541034;1,576541034;56;300
34;Greece;18-06-1989;198906;1,576541034;1,576541034;56;300
34;Greece;05-11-1989;198911;1,576541034;1,576541034;56;300
34;Greece;08-04-1990;199004;1,576541034;1,576541034;56;300
34;Greece;10-10-1993;199310;3;1,576541034;56;300
34;Greece;22-09-1996;199609;3;3;;
34;Greece;09-04-2000;200004;3;3;;
34;Greece;07-03-2004;200403;3;3;;
34;Greece;16-09-2007;200709;3;3;;
34;Greece;04-10-2009;200910;3;3;;
34;Greece;06-05-2012;201205;3;3;;
34;Greece;17-06-2012;201206;3;3;;
34;Greece;25-01-2015;201501;3;3;;
34;Greece;20-09-2015;201509;3;3;;
34;Greece;07-07-2019;201907;3;3;;
53;Ireland;16-06-1977;197706;2,55;;42;148
53;Ireland;11-06-1981;198106;2,31997255;2,55;41;166
53;Ireland;18-02-1982;198202;2,31997255;2,31997255;41;166
53;Ireland;24-11-1982;198211;2,31997255;2,31997255;41;166
53;Ireland;17-02-1987;198702;2,31997255;2,31997255;41;166
53;Ireland;15-06-1989;198906;2,31997255;2,31997255;41;166
53;Ireland;25-11-1992;199211;2,31997255;2,31997255;41;166
53;Ireland;06-06-1997;199706;2,31997255;2,31997255;41;166
53;Ireland;17-05-2002;200205;2,33680554;2,31;42;166
53;Ireland;24-05-2007;200705;2,353147796;2,33;43;166
53;Ireland;25-02-2011;201102;2,353147796;2,353147796;43;166
53;Ireland;26-02-2016;201602;2,353147796;2,353147796;43;166
53;Ireland;08-02-2020;202002;2,353147796;2,353147796;43;166
32;Italy;20-06-1976;197606;0,640882279;0,640882279;32;630
32;Italy;03-06-1979;197906;0,640882279;0,640882279;32;630
32;Italy;26-06-1983;198306;0,640882279;0,640882279;32;630
32;Italy;14-06-1987;198706;0,640882279;0,640882279;32;630
32;Italy;06-04-1992;199204;0,640882279;0,640882279;32;630
32;Italy;13-04-2008;200804;4;4;;
32;Italy;24-02-2013;201302;4;4;;
32;Italy;04-03-2018;201803;4;4;;
87;Latvia;05-10-2002;200210;5;5;;
87;Latvia;07-10-2006;200610;5;5;;
87;Latvia;17-09-2011;201109;5;5;;
87;Latvia;06-10-2018;201810;5;5;;
23;Luxembourg;10-06-1979;197906;2,95;2,95;;
23;Luxembourg;17-06-1984;198406;2,95;2,95;;
23;Luxembourg;18-06-1989;198906;2,95;2,95;;
23;Luxembourg;12-06-1994;199406;2,95;2,95;;
23;Luxembourg;13-06-1999;199906;2,95;2,95;;
23;Luxembourg;13-06-2004;200406;2,95;2,95;;
23;Luxembourg;07-06-2009;200906;2,95;2,95;;
23;Luxembourg;20-10-2013;201310;2,95;2,95;;
22;Netherlands;25-05-1977;197705;0,67;0,67;;
