countryname;Year;GDP_per_capita
Austria;1970;2050,705154
Bulgaria;1970;..
Croatia;1970;..
Czechia;1970;..
Denmark;1970;3464,455183
Estonia;1970;..
Finland;1970;2465,864555
Germany;1970;2771,283105
Greece;1970;1473,603948
Ireland;1970;1486,514527
Italy;1970;2111,719864
Latvia;1970;..
Luxembourg;1970;4298,033897
Netherlands;1970;2931,38078
Norway;1970;3306,219476
Poland;1970;..
Portugal;1970;934,0821561
Romania;1970;..
Slovak Republic;1970;..
Slovenia;1970;..
Spain;1970;1211,423433
Sweden;1970;4729,40501
Switzerland;1970;4044,420682
Austria;1971;2371,65248
Bulgaria;1971;..
Croatia;1971;..
Czechia;1971;..
Denmark;1971;3845,599068
Estonia;1971;..
Finland;1971;2716,432235
Germany;1971;3203,828848
Greece;1971;1629,345279
Ireland;1971;1703,932183
Italy;1971;2310,923761
Latvia;1971;..
Luxembourg;1971;4435,398008
Netherlands;1971;3383,587156
Norway;1971;3736,348737
Poland;1971;..
Portugal;1971;1064,537713
Romania;1971;..
Slovak Republic;1971;..
Slovenia;1971;..
Spain;1971;1361,192519
Sweden;1971;5125,329175
Switzerland;1971;4834,740494
Austria;1972;2912,595771
Bulgaria;1972;..
Croatia;1972;..
Czechia;1972;..
Denmark;1972;4653,955879
Estonia;1972;..
Finland;1972;3177,928793
Germany;1972;3823,940326
Greece;1972;1873,254128
Ireland;1972;2080,465147
Italy;1972;2677,29373
Latvia;1972;..
Luxembourg;1972;5486,720628
Netherlands;1972;4110,491646
Norway;1972;4413,575692
Poland;1972;..
Portugal;1972;1302,266268
Romania;1972;..
Slovak Republic;1972;..
Slovenia;1972;..
Spain;1972;1707,588001
Sweden;1972;6018,459632
Switzerland;1972;5884,775241
Austria;1973;3875,483056
Bulgaria;1973;..
Croatia;1973;..
Czechia;1973;..
Denmark;1973;6116,891992
Estonia;1973;..
Finland;1973;4173,544852
Germany;1973;5065,245233
Greece;1973;2468,003955
Ireland;1973;2424,269047
Italy;1973;3212,639496
Latvia;1973;..
Luxembourg;1973;7447,213018
Netherlands;1973;5353,442652
Norway;1973;5689,588807
Poland;1973;..
Portugal;1973;1747,989041
Romania;1973;..
Slovak Republic;1973;..
Slovenia;1973;..
Spain;1973;2245,947991
Sweden;1973;7290,714019
Switzerland;1973;7855,91887
Austria;1974;4612,619208
Bulgaria;1974;..
Croatia;1974;..
Czechia;1974;..
Denmark;1974;6763,865929
Estonia;1974;..
Finland;1974;5298,080088
Germany;1974;5659,737878
Greece;1974;2789,405774
Ireland;1974;2516,927686
Italy;1974;3629,491823
Latvia;1974;..
Luxembourg;1974;8966,728959
Netherlands;1974;6450,457702
Norway;1974;6811,527337
Poland;1974;..
Portugal;1974;2000,418246
Romania;1974;..
Slovak Republic;1974;..
Slovenia;1974;..
Spain;1974;2747,960367
Sweden;1974;8078,278768
Switzerland;1974;9004,788599
Austria;1975;5264,91772
Bulgaria;1975;..
Croatia;1975;..
Czechia;1975;..
Denmark;1975;7988,156133
Estonia;1975;..
Finland;1975;6256,102451
Germany;1975;6259,207445
Greece;1975;3109,37944
Ireland;1975;2973,400123
Italy;1975;4116,459649
Latvia;1975;..
Luxembourg;1975;8701,304731
Netherlands;1975;7346,304748
Norway;1975;8204,451512
Poland;1975;..
Portugal;1975;2127,637507
Romania;1975;..
Slovak Republic;1975;..
Slovenia;1975;..
Spain;1975;3207,544651
Sweden;1975;10102,75486
Switzerland;1975;10328,10894
Austria;1976;5656,145138
Bulgaria;1976;..
Croatia;1976;..
Czechia;1976;..
Denmark;1976;8773,339616
Estonia;1976;..
Finland;1976;6740,291453
Germany;1976;6659,165466
Greece;1976;3343,388194
Ireland;1976;2919,583087
Italy;1976;4042,394825
Latvia;1976;..
Luxembourg;1976;9490,690312
Netherlands;1976;7937,352467
Norway;1976;8927,201627
Poland;1976;..
Portugal;1976;2173,283934
Romania;1976;..
Slovak Republic;1976;..
Slovenia;1976;..
Spain;1976;3276,970233
Sweden;1976;10852,64383
Switzerland;1976;10864,97123
Austria;1977;6783,951422
Bulgaria;1977;..
Croatia;1977;..
Czechia;1977;..
Denmark;1977;9769,578643
Estonia;1977;..
Finland;1977;7069,735651
Germany;1977;7711,10232
Greece;1977;3832,3211
Ireland;1977;3427,073436
Italy;1977;4614,210049
Latvia;1977;..
Luxembourg;1977;10486,33579
Netherlands;1977;9180,299185
Norway;1977;10266,12067
Poland;1977;..
Portugal;1977;2267,371003
Romania;1977;..
Slovak Republic;1977;..
Slovenia;1977;..
Spain;1977;3624,999403
Sweden;1977;11432,15272
Switzerland;1977;11643,64674
Austria;1978;8173,329263
Bulgaria;1978;..
Croatia;1978;..
Czechia;1978;..
Denmark;1978;11817,62509
Estonia;1978;..
Finland;1978;7629,495725
Germany;1978;9516,782832
Greece;1978;4629,339377
Ireland;1978;4399,986805
Italy;1978;5623,429176
Latvia;1978;..
Luxembourg;1978;13034,38821
Netherlands;1978;11195,84249
Norway;1978;11462,59459
Poland;1978;..
Portugal;1978;2457,313216
Romania;1978;..
Slovak Republic;1978;..
Slovenia;1978;..
Spain;1978;4353,327374
Sweden;1978;12602,3664
Switzerland;1978;16282,19325
Austria;1979;9755,404456
Bulgaria;1979;..
Croatia;1979;..
Czechia;1979;..
Denmark;1979;13757,23437
Estonia;1979;..
Finland;1979;9333,076956
Germany;1979;11322,35434
Greece;1979;5626,588791
Ireland;1979;5429,962001
Italy;1979;7006,396991
Latvia;1979;..
Luxembourg;1979;15204,33082
Netherlands;1979;12817,37902
