countryname;Year;gdp_capita_growth
Austria;1970;6,749434568
Bulgaria;1970;..
Croatia;1970;..
Czechia;1970;..
Denmark;1970;1,093501031
Estonia;1970;..
Finland;1970;7,878214458
Germany;1970;4,75408787
Greece;1970;8,682287635
Ireland;1970;1,806543662
Italy;1970;4,755009601
Latvia;1970;..
Luxembourg;1970;1,258591295
Netherlands;1970;4,8332888
Norway;1970;1,205350007
Poland;1970;..
Portugal;1970;10,08518348
Romania;1970;..
Slovenia;1970;..
Spain;1970;3,093598922
Sweden;1970;5,484382897
Switzerland;1970;5,611701132
Austria;1971;4,6469427
Bulgaria;1971;..
Croatia;1971;..
Czechia;1971;..
Denmark;1971;2,46332869
Estonia;1971;..
Finland;1971;2,227822153
Germany;1971;2,943650202
Greece;1971;7,374327394
Ireland;1971;2,266448137
Italy;1971;1,344280411
Latvia;1971;..
Luxembourg;1971;1,692794199
Netherlands;1971;3,083858448
Norway;1971;4,935121661
Poland;1971;..
Portugal;1971;7,08408511
Romania;1971;..
Slovenia;1971;..
Spain;1971;3,395926826
Sweden;1971;0,252434842
Switzerland;1971;3,530693654
Austria;1972;5,592381549
Bulgaria;1972;..
Croatia;1972;..
Czechia;1972;..
Denmark;1972;3,205579566
Estonia;1972;..
Finland;1972;7,096154205
Germany;1972;3,802475978
Greece;1972;9,446391716
Ireland;1972;4,918854894
Italy;1972;3,103489763
Latvia;1972;..
Luxembourg;1972;5,312930528
Netherlands;1972;2,492243429
Norway;1972;4,52810591
Poland;1972;..
Portugal;1972;8,182480165
Romania;1972;..
Slovenia;1972;..
Spain;1972;6,962193213
Sweden;1972;1,986921324
Switzerland;1972;2,416617683
Austria;1973;4,310906421
Bulgaria;1973;..
Croatia;1973;..
Czechia;1973;..
Denmark;1973;4,088385163
Estonia;1973;..
Finland;1973;6,37797919
Germany;1973;4,44801723
Greece;1973;7,60260826
Ireland;1973;3,055225822
Italy;1973;6,401805873
Latvia;1973;..
Luxembourg;1973;7,122759097
Netherlands;1973;4,575448872
Norway;1973;3,804272512
Poland;1973;..
Portugal;1973;11,1662791
Romania;1973;..
Slovenia;1973;..
Spain;1973;6,604025726
Sweden;1973;3,788932046
Switzerland;1973;2,291967978
Austria;1974;3,765372668
Bulgaria;1974;..
Croatia;1974;..
Czechia;1974;..
Denmark;1974;-1,424300006
Estonia;1974;..
Finland;1974;2,697458604
Germany;1974;0,850760327
Greece;1974;-6,782085976
Ireland;1974;2,547204452
Italy;1974;4,812013918
Latvia;1974;..
Luxembourg;1974;2,862306114
Netherlands;1974;2,631265334
Norway;1974;3,279496571
Poland;1974;..
Portugal;1974;-0,25816482
Romania;1974;..
Slovenia;1974;..
Spain;1974;4,471068353
Sweden;1974;2,89918479
Switzerland;1974;0,910020699
Austria;1975;-0,09902994
Bulgaria;1975;..
Croatia;1975;..
Czechia;1975;..
Denmark;1975;-1,693694805
Estonia;1975;..
Finland;1975;1,354023962
Germany;1975;-0,496434266
Greece;1975;5,373056669
Ireland;1975;3,932444554
Italy;1975;-2,673183962
Latvia;1975;..
Luxembourg;1975;-7,586477105
Netherlands;1975;-0,885418039
Norway;1975;4,374479462
Poland;1975;..
Portugal;1975;-7,914608017
Romania;1975;..
Slovenia;1975;..
Spain;1975;-0,53909653
Sweden;1975;2,14625326
Switzerland;1975;-7,242613143
Austria;1976;4,76336941
Bulgaria;1976;..
Croatia;1976;..
Czechia;1976;..
Denmark;1976;5,727321272
Estonia;1976;..
Finland;1976;0,042351608
Germany;1976;5,400212137
Greece;1976;5,205082475
Ireland;1976;-0,123899391
Italy;1976;6,592319745
Latvia;1976;..
Luxembourg;1976;2,028101742
Netherlands;1976;3,639544379
Norway;1976;5,330359503
Poland;1976;..
Portugal;1976;3,902713757
Romania;1976;..
Slovenia;1976;..
Spain;1976;2,217772419
Sweden;1976;0,6912381
Switzerland;1976;-0,838489875
Austria;1977;5,039648002
Bulgaria;1977;..
Croatia;1977;..
Czechia;1977;..
Denmark;1977;1,668295263
Estonia;1977;..
Finland;1977;-0,040505309
Germany;1977;3,581437071
Greece;1977;1,610301857
Ireland;1977;6,755711843
Italy;1977;2,1258275
Latvia;1977;..
Luxembourg;1977;1,393535558
Netherlands;1977;1,912636046
Norway;1977;3,72139689
Poland;1977;..
Portugal;1977;4,487287897
Romania;1977;..
Slovenia;1977;..
Spain;1977;1,785657018
Sweden;1977;-1,945127155
Switzerland;1977;2,781502643
Austria;1978;-0,129830682
Bulgaria;1978;..
Croatia;1978;..
Czechia;1978;..
Denmark;1978;2,099383892
Estonia;1978;..
Finland;1978;2,624625752
Germany;1978;3,098181684
Greece;1978;5,865271999
Ireland;1978;5,67669396
Italy;1978;2,872936351
Latvia;1978;..
Luxembourg;1978;3,888388213
Netherlands;1978;2,066333237
Norway;1978;3,473549143
Poland;1978;..
Portugal;1978;1,712588649
Romania;1978;..
Slovenia;1978;..
Spain;1978;0,490728455
Sweden;1978;1,455733698
Switzerland;1978;0,400068397
Austria;1979;5,536448272
Bulgaria;1979;..
Croatia;1979;..
Czechia;1979;..
Denmark;1979;3,798026767
Estonia;1979;..
Finland;1979;6,848495239
Germany;1979;4,104331304
Greece;1979;2,002458197
Ireland;1979;1,708913256
Italy;1979;5,653224054
Latvia;1979;..
Luxembourg;1979;2,106146124
Netherlands;1979;1,312405128
Norway;1979;4,017654223
Poland;1979;..
Portugal;1979;4,512543705
Romania;1979;..
Slovenia;1979;..
Spain;1979;-0,836528228
Sweden;1979;3,613647589
Switzerland;1979;2,285906184
Austria;1980;1,731377396
Bulgaria;1980;..
Croatia;1980;..
Czechia;1980;..
Denmark;1980;-0,872046493
Estonia;1980;..
Finland;1980;5,061714035
Germany;1980;1,198693951
Greece;1980;-0,306899606
Ireland;1980;1,899873485
Italy;1980;3,217170118
Latvia;1980;..
Luxembourg;1980;0,482546852
Netherlands;1980;0,54312812
Norway;1980;4,228894798
Poland;1980;..
Portugal;1980;3,464370886
Romania;1980;..
Slovenia;1980;..
Spain;1980;1,391315587
Sweden;1980;1,493733141
Switzerland;1980;4,1874532
Austria;1981;-0,398619994
Bulgaria;1981;4,551144229
Croatia;1981;..
Czechia;1981;..
Denmark;1981;-0,712787692
Estonia;1981;..
Finland;1981;0,858289318
Germany;1981;0,376242526
Greece;1981;-2,432460786
Ireland;1981;2,122297349
Italy;1981;0,723232432
Latvia;1981;..
Luxembourg;1981;-0,843672948
Netherlands;1981;-1,461952876
Norway;1981;1,249365417
Poland;1981;..
Portugal;1981;0,74080148
Romania;1981;..
Slovenia;1981;..
Spain;1981;-0,839887615
Sweden;1981;0,334436788
Switzerland;1981;1,047028065
Austria;1982;1,938120992
Bulgaria;1982;2,032294164
Croatia;1982;..
Czechia;1982;..
Denmark;1982;3,968481519
Estonia;1982;..
Finland;1982;2,510749921
Germany;1982;-0,300057811
Greece;1982;-1,740252903
Ireland;1982;1,321021772
Italy;1982;0,33922494
Latvia;1982;..
Luxembourg;1982;1,048300708
Netherlands;1982;-1,692590418
Norway;1982;-0,132144909
Poland;1982;..
Portugal;1982;1,512893772
Romania;1982;..
Slovenia;1982;..
Spain;1982;0,640409212
Sweden;1982;1,190775395
Switzerland;1982;-1,884376958
Austria;1983;3,139627969
