countryname;Year;Inflation-consumer prices
Austria;1970;4,372824416
Bulgaria;1970;..
Croatia;1970;..
Czechia;1970;..
Denmark;1970;6,514841417
Estonia;1970;..
Finland;1970;2,740420431
Germany;1970;3,450249364
Greece;1970;2,841670679
Ireland;1970;8,207190161
Italy;1970;4,968319873
Latvia;1970;..
Luxembourg;1970;4,639353444
Netherlands;1970;3,668930888
Norway;1970;10,63720653
Poland;1970;..
Portugal;1970;6,38014449
Romania;1970;..
Slovenia;1970;..
Spain;1970;5,731144843
Sweden;1970;7,016358851
Switzerland;1970;3,615986786
Austria;1971;4,704258138
Bulgaria;1971;..
Croatia;1971;..
Czechia;1971;..
Denmark;1971;5,869869591
Estonia;1971;..
Finland;1971;6,475765431
Germany;1971;5,240974483
Greece;1971;3,289470722
Ireland;1971;8,961748634
Italy;1971;4,791664383
Latvia;1971;..
Luxembourg;1971;4,67221498
Netherlands;1971;7,477678677
Norway;1971;6,223863235
Poland;1971;1,099999999
Portugal;1971;11,94689837
Romania;1971;..
Slovenia;1971;..
Spain;1971;8,236887149
Sweden;1971;7,395541138
Switzerland;1971;6,573221119
Austria;1972;6,355146127
Bulgaria;1972;..
Croatia;1972;..
Czechia;1972;..
Denmark;1972;6,562360903
Estonia;1972;..
Finland;1972;6,662497835
Germany;1972;5,484933122
Greece;1972;4,331201232
Ireland;1972;8,605817453
Italy;1972;5,749503937
Latvia;1972;..
Luxembourg;1972;5,225680506
Netherlands;1972;7,802792193
Norway;1972;7,25843583
Poland;1972;-0,098911967
Portugal;1972;10,66335598
Romania;1972;..
Slovenia;1972;..
Spain;1972;8,272287549
Sweden;1972;6,007389699
Switzerland;1972;6,660007042
Austria;1973;7,531078038
Bulgaria;1973;..
Croatia;1973;..
Czechia;1973;..
Denmark;1973;9,30338298
Estonia;1973;..
Finland;1973;10,75447188
Germany;1973;7,032023993
Greece;1973;15,38462407
Ireland;1973;11,41485039
Italy;1973;10,79861745
Latvia;1973;..
Luxembourg;1973;6,068098359
Netherlands;1973;8,022209959
Norway;1973;7,419472836
Poland;1973;2,475247525
Portugal;1973;12,97460852
Romania;1973;..
Slovenia;1973;..
Spain;1973;11,41670761
Sweden;1973;6,717997398
Switzerland;1973;8,75467033
Austria;1974;9,521788197
Bulgaria;1974;..
Croatia;1974;..
Czechia;1974;..
Denmark;1974;15,27520622
Estonia;1974;..
Finland;1974;16,9364
Germany;1974;6,986431093
Greece;1974;26,56084659
Ireland;1974;16,97612732
Italy;1974;19,15976959
Latvia;1974;..
Luxembourg;1974;9,540655417
Netherlands;1974;9,591422673
Norway;1974;9,411768132
Poland;1974;7,053140096
Portugal;1974;25,08277786
Romania;1974;..
Slovenia;1974;..
Spain;1974;15,6803734
Sweden;1974;9,911725301
Switzerland;1974;9,767414319
Austria;1975;8,445258639
Bulgaria;1975;..
Croatia;1975;..
Czechia;1975;..
Denmark;1975;9,605612075
Estonia;1975;..
Finland;1975;17,81139723
Germany;1975;5,910336263
Greece;1975;13,62876178
Ireland;1975;20,87585034
Italy;1975;16,95050257
Latvia;1975;..
Luxembourg;1975;10,71767113
Netherlands;1975;10,21747579
Norway;1975;11,68922348
Poland;1975;2,25631769
Portugal;1975;15,27168575
Romania;1975;..
Slovenia;1975;..
Spain;1975;16,95328593
Sweden;1975;9,779873988
Switzerland;1975;6,696595225
Austria;1976;7,318685451
Bulgaria;1976;..
Croatia;1976;..
Czechia;1976;..
Denmark;1976;9,010290836
Estonia;1976;..
Finland;1976;14,34269309
Germany;1976;4,246631023
Greece;1976;13,02427946
Ireland;1976;17,98569586
Italy;1976;16,61416647
Latvia;1976;..
Luxembourg;1976;9,797346437
Netherlands;1976;8,830651586
Norway;1976;9,161472765
Poland;1976;4,413062666
Portugal;1976;21,1419048
Romania;1976;..
Slovenia;1976;..
Spain;1976;17,62488005
Sweden;1976;10,24922465
Switzerland;1976;1,715476323
Austria;1977;5,494615681
Bulgaria;1977;..
Croatia;1977;..
Czechia;1977;..
Denmark;1977;10,92223781
Estonia;1977;..
Finland;1977;11,79334692
Germany;1977;3,734162406
Greece;1977;12,36979709
Ireland;1977;13,47225529
Italy;1977;17,13004879
Latvia;1977;..
Luxembourg;1977;6,705494115
Netherlands;1977;6,399294874
Norway;1977;9,103839712
Poland;1977;4,902789518
Portugal;1977;31,0167491
Romania;1977;..
Slovenia;1977;..
Spain;1977;24,53806329
Sweden;1977;11,44180511
Switzerland;1977;1,295999163
Austria;1978;3,574318576
Bulgaria;1978;..
Croatia;1978;..
Czechia;1978;..
Denmark;1978;10,21365457
Estonia;1978;..
Finland;1978;7,799350746
Germany;1978;2,718696961
Greece;1978;12,57242567
Ireland;1978;7,711112146
Italy;1978;12,09401384
Latvia;1978;..
Luxembourg;1978;3,094660774
Netherlands;1978;4,112011963
Norway;1978;8,161671543
Poland;1978;8,101265823
Portugal;1978;21,03877236
Romania;1978;..
Slovenia;1978;..
Spain;1978;19,7736705
Sweden;1978;9,995265417
Switzerland;1978;1,028792895
Austria;1979;3,707400964
Bulgaria;1979;..
Croatia;1979;..
Czechia;1979;..
Denmark;1979;9,611050379
Estonia;1979;..
Finland;1979;7,466961513
Germany;1979;4,043620065
Greece;1979;19,09417468
Ireland;1979;13,29546882
Italy;1979;14,79857357
Latvia;1979;..
Luxembourg;1979;4,54652779
Netherlands;1979;4,199299902
Norway;1979;4,509727612
Poland;1979;7,025761124
Portugal;1979;21,89922481
Romania;1979;..
Slovenia;1979;..
Spain;1979;15,6602356
Sweden;1979;7,20978617
Switzerland;1979;3,647640106
Austria;1980;6,328325362
Bulgaria;1980;..
Croatia;1980;..
Czechia;1980;..
Denmark;1980;12,30532408
Estonia;1980;..
Finland;1980;11,59461925
Germany;1980;5,441057545
Greece;1980;24,67589397
Ireland;1980;18,15446226
Italy;1980;21,06416828
Latvia;1980;..
Luxembourg;1980;6,299900062
Netherlands;1980;6,513455455
Norway;1980;10,87866109
Poland;1980;9,682713348
Portugal;1980;15,86748038
Romania;1980;..
Slovenia;1980;..
Spain;1980;15,5619021
Sweden;1980;13,70632236
Switzerland;1980;4,022500848
Austria;1981;6,803041776
Bulgaria;1981;..
Croatia;1981;..
Czechia;1981;..
Denmark;1981;11,76738743
Estonia;1981;..
Finland;1981;11,30575665
Germany;1981;6,344242777
Greece;1981;24,5060676
Ireland;1981;20,37351107
Italy;1981;17,96929875
Latvia;1981;..
Luxembourg;1981;8,072943759
Netherlands;1981;6,738926552
Norway;1981;13,64296081
Poland;1981;19,12718204
Portugal;1981;19,04041075
Romania;1981;..
Slovenia;1981;42,62295273
Spain;1981;14,54934572
Sweden;1981;12,10393853
Switzerland;1981;6,49030964
Austria;1982;5,436030825
Bulgaria;1982;..
Croatia;1982;..
Czechia;1982;..
Denmark;1982;10,12082568
Estonia;1982;..
Finland;1982;9,584927647
Germany;1982;5,241045072
Greece;1982;20,99108862
Ireland;1982;17,1471262
Italy;1982;16,48041462
Latvia;1982;..
Luxembourg;1982;9,357050994
Netherlands;1982;5,911096585
Norway;1982;11,34099617
Poland;1982;103,5587189
Portugal;1982;21,67928373
Romania;1982;..
Slovenia;1982;30,1125436
Spain;1982;14,41500205
Sweden;1982;8,58918509
Switzerland;1982;5,655101824
Austria;1983;3,339164534
Bulgaria;1983;..
Croatia;1983;..
Czechia;1983;..
Denmark;1983;6,908228812
Estonia;1983;..
Finland;1983;8,366292606
Germany;1983;3,293414743
Greece;1983;20,17948129
Ireland;1983;10,44762553
Italy;1983;14,64657667
Latvia;1983;..
Luxembourg;1983;8,669271598
Netherlands;1983;2,740840332
Norway;1983;8,465244322
Poland;1983;25,53475936
Portugal;1983;24,00276238
Romania;1983;..
Slovenia;1983;40,21349184
Spain;1983;12,17407274
Sweden;1983;8,873021524
Switzerland;1983;2,949794435
Austria;1984;5,663185739
Bulgaria;1984;..
Croatia;1984;..
Czechia;1984;..
Denmark;1984;6,29077936
Estonia;1984;..
Finland;1984;7,067656383
Germany;1984;2,405793399
Greece;1984;18,45681321
Ireland;1984;8,651110538
Italy;1984;10,79449601
Latvia;1984;..
Luxembourg;1984;6,435857808
Netherlands;1984;3,301640758
Norway;1984;6,218274112
Poland;1984;15,40099943
Portugal;1984;28,38463889
Romania;1984;..
Slovenia;1984;53,67196691
Spain;1984;11,28027656
Sweden;1984;8,04424239
Switzerland;1984;2,931456691
Austria;1985;3,189516818
Bulgaria;1985;..
Croatia;1985;..
Czechia;1985;..
Denmark;1985;4,678751452
Estonia;1985;..
Finland;1985;5,195621954
Germany;1985;2,066233012
Greece;1985;19,31469294
Ireland;1985;5,395486202
Italy;1985;9,205991443
Latvia;1985;..
Luxembourg;1985;4,093587785
Netherlands;1985;2,25858443
Norway;1985;5,71485464
Poland;1985;11,52126074
Portugal;1985;19,46141001
Romania;1985;..
Slovenia;1985;79,40638115
Spain;1985;8,814455067
Sweden;1985;7,372574581
Switzerland;1985;3,435399353
Austria;1986;1,705444567
Bulgaria;1986;2,7
Croatia;1986;50
Czechia;1986;..
Denmark;1986;3,678184119
Estonia;1986;..
Finland;1986;2,933579204
Germany;1986;-0,129413361
Greece;1986;23,01545082
Ireland;1986;3,827041665
Italy;1986;5,823546919
Latvia;1986;..
Luxembourg;1986;0,294563409
Netherlands;1986;0,083346777
Norway;1986;7,176492748
Poland;1986;16,54996817
Portugal;1986;12,33133349
Romania;1986;..
Slovenia;1986;95,88650521
Spain;1986;8,794939323
Sweden;1986;4,235910111
Switzerland;1986;0,750309839
Austria;1987;1,401952718
Bulgaria;1987;2,726387537
Croatia;1987;133,3332637
Czechia;1987;..
Denmark;1987;4,019993457
Estonia;1987;..
Finland;1987;4,113028862
Germany;1987;0,249906109
Greece;1987;16,39686316
Ireland;1987;3,159410348
Italy;1987;4,747284904
Latvia;1987;..
Luxembourg;1987;-0,056662909
Netherlands;1987;-0,691210481
Norway;1987;8,717047452
Poland;1987;26,37902785
Portugal;1987;9,634831862
Romania;1987;..
Slovenia;1987;132,072721
Spain;1987;5,248018635
Sweden;1987;4,188571518
Switzerland;1987;1,44032188
Austria;1988;1,915716847
Bulgaria;1988;2,369668246
Croatia;1988;185,7142857
Czechia;1988;..
Denmark;1988;4,53513301
Estonia;1988;..
Finland;1988;5,085928614
Germany;1988;1,27411894
Greece;1988;13,52885832
Ireland;1988;2,134569891
Italy;1988;5,058247477
Latvia;1988;..
Luxembourg;1988;1,436590566
Netherlands;1988;0,737950688
Norway;1988;6,676365988
Poland;1988;58,72082973
Portugal;1988;10,10163212
Romania;1988;..
Slovenia;1988;198,7537129
Spain;1988;4,837270665
Sweden;1988;5,824898684
Switzerland;1988;1,872468597
Austria;1989;2,56834829
Bulgaria;1989;6,388888889
Croatia;1989;1400
Czechia;1989;..
Denmark;1989;4,772723424
Estonia;1989;..
Finland;1989;6,592909802
Germany;1989;2,780569556
Greece;1989;13,65556387
Ireland;1989;4,089053882
Italy;1989;6,25983138
Latvia;1989;..
Luxembourg;1989;3,370958873
Netherlands;1989;1,082158103
Norway;1989;4,546143355
Poland;1989;244,550933
Portugal;1989;12,68630365
Romania;1989;..
Slovenia;1989;1281,443494
Spain;1989;6,79143584
Sweden;1989;6,443275874
Switzerland;1989;3,155269797
Austria;1990;3,261872319
Bulgaria;1990;23,8
Croatia;1990;500
Czechia;1990;..
Denmark;1990;2,641603064
Estonia;1990;..
Finland;1990;6,149565312
Germany;1990;2,696468243
Greece;1990;20,43349911
Ireland;1990;3,317328867
Italy;1990;6,456609061
Latvia;1990;..
Luxembourg;1990;3,253766591
Netherlands;1990;2,454091848
Norway;1990;4,131033483
Poland;1990;567,8788007
Portugal;1990;13,63057057
Romania;1990;..
Slovenia;1990;552,0835289
Spain;1990;6,721819522
Sweden;1990;10,36655339
Switzerland;1990;5,403959092
Austria;1991;3,337427035
Bulgaria;1991;338,4491115
Croatia;1991;122,2222222
Czechia;1991;..
Denmark;1991;2,395153317
Estonia;1991;..
Finland;1991;4,310212898
Germany;1991;4,047032598
Greece;1991;19,45584564
Ireland;1991;3,210810371
Italy;1991;6,249999298
Latvia;1991;..
Luxembourg;1991;3,118356599
Netherlands;1991;3,158200415
Norway;1991;3,438195991
Poland;1991;76,76949921
Portugal;1991;11,84948418
Romania;1991;230,6224949
Slovenia;1991;114,8329356
Spain;1991;5,934213443
Sweden;1991;9,444627329
Switzerland;1991;5,859596635
Austria;1992;4,0208478
Bulgaria;1992;91,29793273
Croatia;1992;625
Czechia;1992;11,08650007
Denmark;1992;2,096044429
Estonia;1992;..
Finland;1992;2,919323193
Germany;1992;5,056977967
Greece;1992;15,87707379
Ireland;1992;3,069998538
Italy;1992;5,270589986
Latvia;1992;951,6961949
Luxembourg;1992;3,15417376
Netherlands;1992;3,183581818
