"country","countryname","oecdmember","eumember","edate","date","party","partyname","partyabbrev","parfam","candidatename","coderid","manual","coderyear","testresult","testeditsim","pervote","voteest","presvote","absseat","totseats","progtype","datasetorigin","corpusversion","total","peruncod","per101","per102","per103","per104","per105","per106","per107","per108","per109","per110","per201","per202","per203","per204","per301","per302","per303","per304","per305","per401","per402","per403","per404","per405","per406","per407","per408","per409","per410","per411","per412","per413","per414","per415","per416","per501","per502","per503","per504","per505","per506","per507","per601","per602","per603","per604","per605","per606","per607","per608","per701","per702","per703","per704","per705","per706","per1011","per1012","per1013","per1014","per1015","per1016","per1021","per1022","per1023","per1024","per1025","per1026","per1031","per1032","per1033","per2021","per2022","per2023","per2031","per2032","per2033","per2041","per3011","per3051","per3052","per3053","per3054","per3055","per4011","per4012","per4013","per4014","per4121","per4122","per4123","per4124","per4131","per4132","per5021","per5031","per5041","per5061","per6011","per6012","per6013","per6014","per6061","per6071","per6072","per6081","per7051","per7052","per7061","per7062","per103_1","per103_2","per201_1","per201_2","per202_1","per202_2","per202_3","per202_4","per305_1","per305_2","per305_3","per305_4","per305_5","per305_6","per416_1","per416_2","per601_1","per601_2","per602_1","per602_2","per605_1","per605_2","per606_1","per606_2","per607_1","per607_2","per607_3","per608_1","per608_2","per608_3","per703_1","per703_2","rile","planeco","markeco","welfare","intpeace","datasetversion","id_perm","avg_pervote"
11,"Sweden",0,0,1960-09-18,196009,11320,"Social Democratic Labour Party","SAP",30,"NA",117,0,1983,NA,NA,47.789,0,NA,114,232,1,10,"NA",389,NA,0,0,0,0.3,0,3.1,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,2.9,0,0,0,0,0.8,0,0.5,0,1.3,0,0.5,0,0,0,0.3,2.3,43.9,0,11,0,0,0,0,0,0,0,1.6,0,0,0,0,0,0,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-61.4,4.2,0.5,46.2,3.1,"2024a","A3M93R",40.4221726752397
11,"Sweden",0,0,1960-09-18,196009,11420,"People’s Party","FP",40,"NA",117,0,1983,NA,NA,17.492,0,NA,40,232,1,10,"NA",46,NA,0,2.2,0,2.2,0,4.4,4.4,2.2,0,0,0,2.2,0,0,0,0,0,0,0,6.5,6.5,0,0,0,0,2.2,2.2,0,0,0,0,0,10.9,0,0,0,0,6.5,10.9,0,6.5,0,0,0,6.5,0,2.2,0,4.4,0,0,0,0,0,0,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.6,0,17.4,17.4,6.6,"2024a","461BJZ",10.1521420304505
11,"Sweden",0,0,1960-09-18,196009,11620,"Right Party","",60,"NA",117,0,1983,NA,NA,16.557,0,NA,39,232,1,10,"NA",354,NA,0,0,0,0,0,0,0,0,0,0,4.8,0,0,0,0,0,0.6,0,0,4.2,5.4,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,0,1.1,1.1,2,0.3,0,0,0,1.1,0,0.3,0,0,0,0,0,13.8,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.8,0,22.6,2.2,0,"2024a","YZVJX1",19.4304007502197
11,"Sweden",0,0,1960-09-18,196009,11810,"Centre Party","CP",80,"NA",117,0,1983,NA,NA,13.611,0,NA,34,232,1,10,"NA",151,NA,0,0,0,0.6,0,1.9,0.6,0,0,0,2.5,0.6,1.2,0.6,3.7,0,5.6,0,0,6.2,6.2,0.6,0,0,2.5,0.6,0,0,2.5,1.2,0,0,11.8,0,0,0,1.9,1.2,19.3,1.2,5,0,0,0,3.7,0,2.5,0,0.6,0,0,0,6.2,0,0,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0.6,18,20.5,1.9,"2024a","COJWYR",12.2055473681481
11,"Sweden",10,0,1964-09-20,196409,11320,"Social Democratic Labour Party","SAP",30,"NA",117,0,1983,NA,NA,47.269,0,NA,113,233,1,10,"NA",1255,NA,0,0,0.9,0,0,0,0,2.2,0,0,0.5,0,0,0,0,0,0.2,0,0,0,0.8,1.3,0.2,0,0,0.2,1.1,0.2,1.8,0.6,0.2,0,0.1,0,0,0,0.3,7.2,23.1,0,10.9,0,0,0,0,0,0,1.9,0.4,0,0.5,0,0,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-33.6,1.7,0.1,30.3,0,"2024a","2ILP7X",40.4221726752397
11,"Sweden",10,0,1964-09-20,196409,11420,"People’s Party","FP",40,"NA",117,0,1983,NA,NA,16.975,0,NA,42,233,1,10,"NA",336,NA,0,0,0,0,0,0,21.3,0,0,0,1.9,9.7,0,0,0,0,0,0.5,0,1,0.5,0,1,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,5.3,10.6,16.4,0,4.4,0,0,0,0,0,0,0,0,0,0,6.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-48.9,1,1,27,0,"2024a","7STT98",10.1521420304505
11,"Sweden",10,0,1964-09-20,196409,11620,"Right Party","",60,"NA",117,0,1983,NA,NA,13.722,0,NA,32,233,1,10,"NA",53,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.5,0,0,0,0,0,0,0,0,0,0,0,0,18.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.4,0,60.4,0,0,"2024a","HZZQA9",19.4304007502197
11,"Sweden",10,0,1964-09-20,196409,11810,"Centre Party","CP",80,"NA",117,0,1983,NA,NA,13.181,0,NA,33,233,1,10,"NA",235,11.915,0,0,0,0.426,0,0.426,0.426,0,0,0,1.277,1.702,0,0,2.553,0,3.404,0,0,5.532,7.234,0,0,0,0,0,0,0,4.255,2.128,0,0,3.83,0,0,4.681,3.404,0.851,22.553,0,10.213,0,0,0,1.702,0,1.277,0,0,0,0,0,7.234,0.851,0,2.128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-14.043,0,9.362,23.404,0.426,"2024a","EYBM81",12.2055473681481
11,"Sweden",10,0,1968-09-15,196809,11320,"Social Democratic Labour Party","SAP",30,"NA",117,0,1983,NA,NA,50.116,0,NA,125,233,1,10,"NA",56,NA,0,0,0,1.8,3.6,5.4,1.8,0,0,0,0,5.4,0,0,0,0,0,0,0,0,0,10.7,0,0,0,0,3.6,0,1.8,0,0,0,0,0,0,5.4,0,12.5,19.6,0,1.8,0,0,0,0,0,0,3.6,0,0,0,0,0,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-42.9,10.7,0,32.1,9,"2024a","O4W5GS",40.4221726752397
11,"Sweden",10,0,1968-09-15,196809,11420,"People’s Party","FP",40,"NA",117,0,1983,NA,NA,14.256,0,NA,32,233,1,10,"NA",97,NA,0,0,0,0,0,0,13.4,0,0,0,0,0,0,0,0,0,0,0,0,1,3.1,0,4.1,1,0,0,3.1,0,4.1,1,0,0,1,0,0,0,0,1,45.4,0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-59.9,4.1,2,46.4,0,"2024a","KBBC4A",10.1521420304505
