country;countryname;edate;date;party;partyname;partyabbrev;parfam;threshold;threshold_lagged;Distrikter;Antal_pladser;pervote;absseat;totseats;total;per402;per403;per404;per405;per406;per407;per408;per409;per410;per411;per412;per413;per414;per415;per416;per501;per502;per503;per504;per505;per506;per507;rile;planeco;markeco;welfare;intpeace;avg_pervote
11;Sweden;20-09-1970;197009;11320;Social Democratic Labour Party;SAP;30;4;4;;;45,343;163;350;197;1;8,1;1;0,5;0;0,5;2,5;1,5;4,1;0,5;1;0;1,5;0;0;7,1;0,5;16,8;13,7;0;4,1;0;-41,2;10,1;1,5;30,5;4,1;40,42217268
11;Sweden;16-09-1973;197309;11320;Social Democratic Labour Party;SAP;30;4;4;;;43,559;156;350;41;0;5,1;0;0;0;0;7,7;0;0;0;0;0;5,1;0;0;0;0;10,3;12,8;0;0;0;-7,7;5,1;5,1;23,1;2,6;40,42217268
11;Sweden;19-09-1976;197609;11320;Social Democratic Labour Party;SAP;30;4;4;;;42,749;152;349;70;5,7;0;0;0;0;0;14,3;0;4,3;4,3;0;0;10;0;0;4,3;0;5,7;10;0;2,9;0;-11,5;0;10;15,7;8,6;40,42217268
11;Sweden;16-09-1979;197909;11320;Social Democratic Labour Party;SAP;30;4;4;;;43,244;154;349;151;0,7;4;0;0;0;0;6;0;4;0,7;0,7;0;9,9;0;0;7,3;0;7,3;15,2;0;2,7;0;-15,3;4,7;9,9;22,5;4,6;40,42217268
11;Sweden;19-09-1982;198209;11320;Social Democratic Labour Party;SAP;30;4;4;;;45,606;166;349;124;0;0;0;0;0;0;13,7;0;0,8;0,8;2,4;0;4;0;0;12,9;0;7,3;12,1;1,6;0;0;-18,5;2,4;4;19,4;8,8;40,42217268
11;Sweden;15-09-1985;198509;11320;Social Democratic Labour Party;SAP;30;4;4;;;44,684;159;349;81;0;0;0;0;0;0;3,7;0;6,2;3,7;0;0;8,6;0;0;9,9;2,5;0;16;0;2,5;0;-21,1;0;9,8;16;3,7;40,42217268
11;Sweden;18-09-1988;198809;11320;Social Democratic Labour Party;SAP;30;4;4;;;43,207;156;349;63;0;0;0;0;0;0;0;0;1,6;0;0;0;6,3;0;0;15,9;9,5;15,9;23,8;0;3,2;0;-23,9;0;6,3;39,7;1,6;40,42217268
11;Sweden;15-09-1991;199109;11320;Social Democratic Labour Party;SAP;30;4;4;;;37,705;138;349;130;1,538;0;0;0;0;0;0,769;0;3,077;3,846;0;0;5,385;0;0;11,538;0;15,385;4,615;0;0,769;0;-6,154;0;5,385;20;0;40,42217268
11;Sweden;18-09-1994;199409;11320;Social Democratic Labour Party;SAP;30;4;4;;;45,25;161;349;206;1,456;0;0;0;0;0;3,883;0;12,136;7,282;0;0;17,476;0;0;1,942;0;11,165;0,485;0;1,942;0;23,786;0;19,417;11,65;0;40,42217268
11;Sweden;21-09-1998;199809;11320;Social Democratic Labour Party;SAP;30;4;4;;;36,39;131;349;256;3,906;0;0;0;0;0;0,391;0;7,422;3,125;0;0;10,156;0;0;1,953;1,172;10,938;12,5;0;7,813;0;-3,516;0;10,547;23,438;0;40,42217268
11;Sweden;15-09-2002;200209;11320;Social Democratic Labour Party;SAP;30;4;4;;;39,854;144;349;273;1,832;0,366;0;0;0;0;0;0;0,733;2,198;0;0;2,198;0;0;5,128;8,425;5,861;9,89;0;10,989;0;-18,315;0,366;4,396;15,751;0,733;40,42217268
11;Sweden;17-09-2006;200609;11320;Social Democratic Labour Party;SAP;30;4;4;;;34,994;130;349;393;1,018;0;0,254;0,254;0;0,254;3,562;0;2,29;7,379;3,817;1,272;1,018;0;0;5,089;3,308;5,852;23,664;0;6,616;0;-24,173;4,071;1,527;29,517;1,781;40,42217268
