countryname;samlet_partyname;edate;samlet_party;partyname_samlet;pervote_samlet;seats_samlet;avg_vote_share;i_parlament;lagged_pervote_samlet;lagged_i_parlament
Austria;Alternative List Austria;24-04-1983;1739;ALO;1,4;0;1,4;0;0;0
Austria;Green Alternative;23-11-1986;42110;GA;4,823;8;8,2;1;0;0
Austria;United Greens Austria;07-10-1990;1740;VGO;2;0;2;0;0;0
Austria;Green Alternative;07-10-1990;42110;GA;4,784;10;8,2;1;4,823;1
Austria;The Greens;09-10-1994;42110;GRÜNE;7,307;13;8,2;1;4,784;1
Austria;The Greens;17-12-1995;42110;GRÜNE;4,815;9;8,2;1;7,307;1
Austria;The Greens;03-10-1999;42110;GRÜNE;7,4;14;8,2;1;4,815;1
Austria;The Greens;24-11-2002;42110;GRÜNE;9,47;17;8,2;1;7,4;1
Austria;The Greens;01-10-2006;42110;GRÜNE;11,05;21;8,2;1;9,47;1
Austria;The Greens;28-09-2008;42110;GRÜNE;10,43;20;8,2;1;11,05;1
Austria;The Greens;29-09-2013;42110;GRÜNE;12,416;24;8,2;1;10,43;1
Austria;The Greens;15-10-2017;42110;GRÜNE;3,8;0;8,2;0;12,416;1
Austria;Peter Pilz List;15-10-2017;42120;PILZ;4,409;8;3,15;1;NA;NA
Austria;The Greens;29-09-2019;42110;GRÜNE;13,9;26;8,2;1;3,8;0
Austria;JETZT -- Pilz List;29-09-2019;42120;PILZ;1,9;0;3,15;0;4,409;1
Bulgaria;New Times;25-06-2005;2180;NV;2,95;0;2,95;0;0;0
Croatia;Sustainable Development of Croatia;08-11-2015;2382;ORaH;1,73;0;1,73;0;0;0
Croatia;We Can! -- Political Platform;05-07-2020;2810;M!;6,99;7;6,99;1;0;0
Czech Republic;Green Party;20-06-1998;82110;SZ;1,12;0;2,74375;0;0;0
Czech Republic;Green Party;15-06-2002;82110;SZ;2,36;0;2,74375;0;1,12;0
Czech Republic;Green Party;03-06-2006;82110;SZ;6,29;6;2,74375;1;2,36;0
Czech Republic;Green Party;29-05-2010;82110;SZ;2,44;0;2,74375;0;6,29;1
Czech Republic;Green Party;25-10-2013;82110;SZ;3,19;0;2,74375;0;2,44;0
Czech Republic;Green Party;21-10-2017;82110;SZ;1,46;0;2,74375;0;3,2;0
Czech Republic;Green Party;09-10-2021;82110;SZ;0,99;0;2,74375;0;1,46;0
Denmark;Socialist Peoples Party;15-11-1960;13230;SF;6,1;11;8,139130435;1;0;0
Denmark;Socialist Peoples Party;22-09-1964;13230;SF;5,8;10;8,139130435;1;6,1;1
Denmark;Socialist Peoples Party;22-11-1966;13230;SF;10,9;20;8,139130435;1;5,8;1
Denmark;Socialist Peoples Party;23-01-1968;13230;SF;6,1;11;8,139130435;1;10,9;1
Denmark;Socialist Peoples Party;21-09-1971;13230;SF;9,1;17;8,139130435;1;6,1;1
Denmark;Socialist Peoples Party;04-12-1973;13230;SF;6;11;8,139130435;1;9,1;1
Denmark;Socialist Peoples Party;09-01-1975;13230;SF;5;9;8,139130435;1;6;1
Denmark;Socialist Peoples Party;15-02-1977;13230;SF;3,9;7;8,139130435;1;5;1
Denmark;Socialist Peoples Party;23-10-1979;13230;SF;5,9;11;8,139130435;1;3,9;1
Denmark;Socialist Peoples Party;08-12-1981;13230;SF;11,3;21;8,139130435;1;5,9;1
Denmark;Socialist Peoples Party;10-01-1984;13230;SF;11,5;21;8,139130435;1;11,3;1
Denmark;Greens;08-09-1987;797;Gron;1,3;0;1,35;0;0;0
Denmark;Socialist Peoples Party;08-09-1987;13230;SF;14,6;27;8,139130435;1;11,5;1
Denmark;Greens;10-05-1988;797;Gron;1,4;0;1,35;0;1,3;0
Denmark;Socialist Peoples Party;10-05-1988;13230;SF;13;24;8,139130435;1;14,6;1
Denmark;Socialist Peoples Party;12-12-1990;13230;SF;8,3;15;8,139130435;1;13;1
Denmark;Socialist Peoples Party;21-09-1994;13230;SF;7,3;13;8,139130435;1;8,3;1
Denmark;Socialist Peoples Party;11-03-1998;13230;SF;7,6;13;8,139130435;1;7,3;1
Denmark;Socialist Peoples Party;20-11-2001;13230;SF;6,4;12;8,139130435;1;7,6;1
Denmark;Socialist Peoples Party;08-02-2005;13230;SF;6;11;8,139130435;1;6,4;1
Denmark;Socialist Peoples Party;13-11-2007;13230;SF;13;23;8,139130435;1;6;1
Denmark;Socialist Peoples Party;15-09-2011;13230;SF;9,2;16;8,139130435;1;13;1
Denmark;The Alternative;18-06-2015;2567;A;4,8;9;3,7;1;0;0
Denmark;Socialist Peoples Party;18-06-2015;13230;SF;4,2;7;8,139130435;1;9,2;1
Denmark;The Alternative;05-06-2019;2567;A;3;5;3,7;1;4,8;1
Denmark;Socialist Peoples Party;05-06-2019;13230;SF;7,7;14;8,139130435;1;4,2;1
Denmark;The Alternative;01-11-2022;2567;A;3,3;6;3,7;1;3;1
Denmark;Socialist Peoples Party;01-11-2022;13230;SF;8,3;15;8,139130435;1;7,7;1
Estonia;Estonian Greens;04-03-2007;83110;EER;7,14;6;2,92;1;0;0
Estonia;Estonian Greens;06-03-2011;83110;EER;3,795;0;2,92;0;7,14;1
Estonia;Estonian Greens;01-03-2015;83110;EER;0,9;0;2,92;0;3,795;0
Estonia;Richness of Life;03-03-2019;2721;ELE;1,2;0;1,2;0;0;0
Estonia;Estonian Greens;03-03-2019;83110;EER;1,8;0;2,92;0;0,9;0
Estonia;Estonian Greens;05-03-2023;83110;EER;1;0;2,92;0;1,8;0
Finland;Green Union;21-03-1983;14110;VL;1,411;2;6,984545455;1;0;0
Finland;Green Union;16-03-1987;14110;VL;4,027;4;6,984545455;1;1,411;1
Finland;Green Union;17-03-1991;14110;VL;6,82;10;6,984545455;1;4,027;1
Finland;Ecological Party;19-03-1995;1105;Eko;0,3;1;0,3;1;NA;NA
Finland;Green Union;19-03-1995;14110;VL;6,516;9;6,984545455;1;6,82;1
Finland;Green Union;21-03-1999;14110;VL;7,27;11;6,984545455;1;6,516;1
Finland;Green Union;16-03-2003;14110;VL;8,008;14;6,984545455;1;7,27;1
Finland;Green Union;18-03-2007;14110;VL;8,46;15;6,984545455;1;8,008;1
Finland;Green Union;17-04-2011;14110;VL;7,252;10;6,984545455;1;8,46;1
Finland;Green Union;19-04-2015;14110;VL;8,526;15;6,984545455;1;7,252;1
Finland;Green Union;14-04-2019;14110;VL;11,493;20;6,984545455;1;8,526;1
Finland;Green League;02-04-2023;14110;VIHR;7;13;6,984545455;1;11,493;1
Germany;Alliance 90 / Greens;05-10-1980;41113;B90/Gru;1,5;0;7,720833333;0;0;0
Germany;Alliance 90 / Greens;06-03-1983;41113;B90/Gru;5,6;27;7,720833333;1;1,5;0
Germany;Alliance 90 / Greens;25-01-1987;41113;B90/Gru;8,3;42;7,720833333;1;5,6;1
Germany;Alliance 90 / Greens;02-12-1990;41113;B90/Gru;3,8;0;7,720833333;0;8,3;1
Germany;Alliance‘90/Greens;16-10-1994;41113;90/Greens;7,27;49;7,720833333;1;3,8;0
Germany;Alliance‘90/Greens;27-09-1998;41113;90/Greens;6,696;47;7,720833333;1;7,27;1
Germany;Alliance‘90/Greens;22-09-2002;41113;90/Greens;8,564;55;7,720833333;1;6,696;1
Germany;Alliance‘90/Greens;18-09-2005;41113;90/Greens;8,117;51;7,720833333;1;8,564;1
Germany;Alliance‘90/Greens;27-09-2009;41113;90/Greens;10,706;68;7,720833333;1;8,117;1
Germany;Alliance‘90/Greens;22-09-2013;41113;90/Greens;8,444;63;7,720833333;1;10,706;1
Germany;Alliance‘90/Greens;24-09-2017;41113;90/Greens;8,94;67;7,720833333;1;8,444;1
Germany;Alliance‘90/Greens;26-09-2021;41113;90/Greens;14,8;118;7,720833333;1;8,94;1
Greece;Alternative Ecologists;05-11-1989;2163;OE;0,6;1;0,7;1;0;0
Greece;Ecologist Greens;16-09-2007;1280;OP;1,05;0;2,17;0;0;0
Greece;Ecologist Greens;04-10-2009;1280;OP;2,53;0;2,17;0;1,05;0
Greece;Ecologist Greens;06-05-2012;1280;OP;2,93;0;2,17;0;2,53;0
Ireland;Green Party;24-11-1982;53110;Greens;0,2;0;0;0;0;0
Ireland;Green Party;17-02-1987;53110;Greens;0,4;0;0;0;0,2;0
Ireland;Green Party;15-06-1989;53110;Greens;1,498;1;3,2375;1;0,4;0
Ireland;Green Party;17-05-2002;53110;Greens;3,847;6;3,2375;1;2,757;1
Ireland;Green Party;24-05-2007;53110;Greens;4,692;6;3,2375;1;3,847;1
Ireland;Green Party;25-02-2011;53110;Greens;1,8;0;3,2375;0;4,692;1
Ireland;Green Party;26-02-2016;53110;Greens;2,719;2;3,2375;1;1,8;0
Ireland;Green Party;08-02-2020;53110;Greens;7,13056031;12;3,2375;1;2,719;1
Italy;Green Federation;14-06-1987;32110;FdV;2,514;13;2,5;1;0;0
Italy;Green Federation;06-04-1992;32110;FdV;2,787;16;NA;1;2,514;1
Italy;Green Federation;28-03-1994;32110;FdV;2,701;11;NA;1;2,787;1
Italy;Green Federation;21-04-1996;32110;FdV;2,5;13;2,323333333;1;2,701;1
Italy;Italy Europe Together;04-03-2018;1234;INSIEME;0,6;1;0;0;0;0
Latvia;Latvian Green Party;05-10-2002;1001;LZP;9,47;5;;1;2,3;0
Latvia;Latvian Green Party;07-10-2006;1001;LZP;16,81;4;;1;9,47;1
