"countryname","edate","country","party","oecdmember","eumember","date","partyname","partyabbrev","parfam","absseat","per410","per416","per501","threshold","threshold_lagged","pervote_samlet","lagged_pervote_samlet","i_parlament","lagged_i_parlament","avg_pervote_main","rile","rile_lowe","centered_pervote_samlet","centered_lagged_pervote_samlet","miljø_afhængig","miljø_afhængig_alt","factor_lagged_i_parlament","factor_i_parlament","large_party","left_party","left_party_lag1","large_party_lag1","miljø_afhængig_fd","Year","GDP_per_capita","has_rrp","rrp_i_p","rrp_i_p_lag1","gdp_capita_growth","GDP_per_capita_lag1","Unemployment","Inflation-consumer prices","gdp_growth_std","inflation_std","unemployment_std","economic_index","good_economy","factor_good_economy","good_economy_lag1","high_gdp_growth","factor_high_gdp_growth","high_gdp_growth_lag1"
"Sweden",1970-09-20,11,11320,10,0,197009,"Social Democratic Labour Party","SAP",30,163,4.1,0,7.1,4,4,0,0,0,0,38.9279550518471,-41.2,-1.67463411199064,-4,-4,0.502091943797236,0.502091943797236,"Green parties w/o seats","Green parties w/o seats",1,1,NA,NA,NA,1970,4729.40501,NA,0,NA,5.484382897,NA,NA,7.016358851,1.67633445919368,-0.4962659652494,NA,0.590034246972138,1,"Good economy",NA,1,"Høj BNP-vækst",NA
"Sweden",1973-09-16,11,11320,10,0,197309,"Social Democratic Labour Party","SAP",30,156,0,0,0,4,4,0,0,0,0,38.9279550518471,-7.7,-0.250902820948485,-4,-4,0,0,"Green parties w/o seats","Green parties w/o seats",1,1,1,1,-0.502091943797236,1973,7290.714019,NA,0,0,3.788932046,5.484382897,NA,6.717997398,0.793398248729752,-0.410323016055299,NA,0.191537616337226,1,"Good economy",1,1,"Høj BNP-vækst",1
"Sweden",1976-09-19,11,11320,10,0,197609,"Social Democratic Labour Party","SAP",30,152,4.3,0,4.3,4,4,0,0,0,0,38.9279550518471,-11.5,-0.377180394269582,-4,-4,0,0,"Green parties w/o seats","Green parties w/o seats",1,1,1,1,0,1976,10852.64383,NA,0,0,0.6912381,3.788932046,NA,10.24922465,-0.819781014028059,-1.42749222896786,NA,-1.12363662149796,0,"Poor economy",1,0,"Lav BNP-vækst",1
"Sweden",1979-09-16,11,11320,10,0,197909,"Social Democratic Labour Party","SAP",30,154,4,0,7.3,4,4,0,0,0,0,38.9279550518471,-15.3,-0.467081074803134,-4,-4,0.550046336919272,0.550046336919272,"Green parties w/o seats","Green parties w/o seats",1,1,1,1,0.550046336919272,1979,14855.7663,NA,0,0,3.613647589,0.6912381,NA,7.20978617,0.702115747602972,-0.551982660829268,NA,0.0750665433868522,0,"Poor economy",0,1,"Høj BNP-vækst",0
"Sweden",1982-09-19,11,11320,10,0,198209,"Social Democratic Labour Party","SAP",30,166,0.8,0,12.9,4,4,1.7,0,0,0,38.9279550518471,-18.5,-0.715494479251942,-2.3,-4,2.33289044248937,2.33289044248937,"Green parties w/o seats","Green parties w/o seats",1,1,1,1,1.7828441055701,1982,13719.2114,NA,0,0,1.190775395,3.613647589,NA,8.58918509,-0.559638075662988,-0.949318208393977,NA,-0.754478142028482,0,"Poor economy",0,0,"Lav BNP-vækst",1
"Sweden",1985-09-15,11,11320,10,0,198509,"Social Democratic Labour Party","SAP",30,159,6.2,0,9.9,4,4,1.5,1.7,0,0,38.9279550518471,-21.1,-0.791051395541317,-2.5,-2.3,0.439698279750407,0.439698279750407,"Green parties w/o seats","Green parties w/o seats",1,1,1,1,-1.89319216273897,1985,13647.20056,NA,0,0,1.991774093,1.190775395,NA,7.372574581,-0.142503745533911,-0.59887382587518,NA,-0.370688785704546,0,"Poor economy",0,0,"Lav BNP-vækst",0
"Sweden",1988-09-18,11,11320,10,0,198809,"Social Democratic Labour Party","SAP",30,156,1.6,0,15.9,4,4,5.526,1.5,1,0,38.9279550518471,-23.9,-1.05333158413495,1.526,-2.5,2.05534399010078,2.05534399010078,"Green parties w/o seats","Green parties w seat(s)",1,1,1,1,1.61564571035037,1988,24499.40532,NA,0,0,2.088760557,1.991774093,NA,5.824898684,-0.0919963180022024,-0.153066133067072,NA,-0.122531225534637,0,"Poor economy",0,1,"Høj BNP-vækst",0
"Sweden",1991-09-15,11,11320,10,0,199109,"Social Democratic Labour Party","SAP",30,138,3.077,0,11.538,4,4,3.383,5.526,0,1,38.9279550518471,-6.154,-0.26426040062062,-0.617,1.526,1.2135438528487,1.2135438528487,"Green parties w seat(s)","Green parties w/o seats",1,1,1,1,-0.841800137252077,1991,31777.0328,NA,0,0,-1.817515151,2.088760557,3.243,9.444627329,-2.12625892644912,-1.19572815225782,1.79854368679799,-0.507814463969649,0,"Poor economy",0,0,"Lav BNP-vækst",1
"Sweden",1994-09-18,11,11320,10,0,199409,"Social Democratic Labour Party","SAP",30,161,12.136,0,1.942,4,4,5.023,3.383,1,0,38.9279550518471,23.786,0.837497931446242,1.023,-0.617,-1.64373250725133,-1.64373250725133,"Green parties w/o seats","Green parties w seat(s)",1,0,1,1,-2.85727636010002,1994,26045.81489,NA,0,0,3.279030731,-1.817515151,9.58,2.158138007,0.527858062465354,0.903143452325772,-1.32071226564671,0.0367630830481394,0,"Poor economy",0,1,"Høj BNP-vækst",0
"Sweden",2002-09-15,11,11320,10,10,200209,"Social Democratic Labour Party","SAP",30,144,0.733,0,5.128,4,4,4.646,4.49,1,1,38.9279550518471,-18.315,-0.552730204225569,0.646,0.49,1.51830391506994,1.51830391506994,"Green parties w seat(s)","Green parties w seat(s)",1,1,0,1,3.16203642232126,2002,29957.93877,NA,0,0,1.945361697,3.279030731,4.965,2.158482136,-0.166673826912927,0.903044326044994,0.950925136993704,0.562431878708591,1,"Good economy",0,0,"Lav BNP-vækst",1
