iso2c	edate	party	partyname	parfam	thrs	thrs_l	er.v.c	er.v.c_l	er.in	er.in_l	rile.logit	per607	per608	multic.logit_fd	per608_fd	multic.ratio_fd	af.bipolar_fd	meguid.bipolar_fd	env.logit_fd
AT	24-04-1983	42320	SPÖ Austrian Social Democratic Party	30	1,171875	1,171875	-1,171875	-1,171875	0	0	-0,923184013	0	0	2,712440549	0	NaN	-9	-10,1	-1,261771608
AT	23-11-1986	42320	SPÖ Austrian Social Democratic Party	30	1,171875	1,171875	8,559920223	-1,171875	1	0	-0,319895611	0	0	0	0	NaN	2,1	4,2	0,763597945
AT	07-10-1990	42320	SPÖ Austrian Social Democratic Party	30	1,171875	1,171875	15,46288872	8,559920223	1	1	-0,37006778	0,4	0	-1,896719905	0	NaN	1	0,5	-2,373438582
AT	09-10-1994	42320	SPÖ Austrian Social Democratic Party	30	4	1,171875	18,49743909	15,46288872	1	1	-0,480957758	0,165	0	0,798174285	0	0	-1,58	-2,685	2,689025893
AT	17-12-1995	42320	SPÖ Austrian Social Democratic Party	30	4	4	17,88523379	18,49743909	1	1	0,807084289	0	0	1,09854562	0	NaN	3,314	4,363	0,985569898
AT	03-10-1999	42320	SPÖ Austrian Social Democratic Party	30	4	4	22,91459389	17,88523379	1	1	-0,848792752	0	0	0	0	NaN	-2,243	-4,684	-1,945285946
AT	24-11-2002	42320	SPÖ Austrian Social Democratic Party	30	4	4	6,007403794	22,91459389	1	1	-0,688211726	2,22	0	-3,663725735	0	NaN	-3,56	-2,897	1,077224932
AT	01-10-2006	42320	SPÖ Austrian Social Democratic Party	30	4	4	7,035832398	6,007403794	1	1	-0,640315631	1,942	1,248	3,240541249	1,248	0,782445141	7,548	6,534	-0,249170726
AT	28-09-2008	42320	SPÖ Austrian Social Democratic Party	30	4	4	13,53580549	7,035832398	1	1	-0,772568057	0,665	0,914	0,7250729	-0,334	0,375249602	-0,312	-0,727	-0,3907406
AT	24-04-1983	42520	ÖVP Austrian People’s Party	50	1,171875	1,171875	-1,171875	-1,171875	0	0	0,047012789	0	0	0	0	NaN	4	4,6	-0,883261683
AT	23-11-1986	42520	ÖVP Austrian People’s Party	50	1,171875	1,171875	8,559920223	-1,171875	1	0	1,392772466	0	0	0	0	NaN	-3,3	-0,6	-1,380643286
AT	07-10-1990	42520	ÖVP Austrian People’s Party	50	1,171875	1,171875	15,46288872	8,559920223	1	1	0,18945843	0,4	0	-1,526056303	0	NaN	1	0,6	-1,104061893
AT	09-10-1994	42520	ÖVP Austrian People’s Party	50	4	1,171875	18,49743909	15,46288872	1	1	0,921289896	1,457	0	-1,970321553	0	0	6,741	6,209	1,260835333
AT	17-12-1995	42520	ÖVP Austrian People’s Party	50	4	4	17,88523379	18,49743909	1	1	1,706866776	0	0	3,496377856	0	NaN	-7,741	-9,692	3,85054683
AT	03-10-1999	42520	ÖVP Austrian People’s Party	50	4	4	22,91459389	17,88523379	1	1	0,539617309	0	0,497	2,832828564	0,497	NaN	9,882	16,985	-1,938288147
AT	24-11-2002	42520	ÖVP Austrian People’s Party	50	4	4	6,007403794	22,91459389	1	1	-0,022058933	1,222	0	-6,59374771	-0,497	-2	-6,156	-12,337	-3,99947417
AT	01-10-2006	42520	ÖVP Austrian People’s Party	50	4	4	7,035832398	6,007403794	1	1	-0,121174276	0,194	2,233	6,097090081	2,233	1,84013185	8,847	8,285	1,997913059
AT	28-09-2008	42520	ÖVP Austrian People’s Party	50	4	4	13,53580549	7,035832398	1	1	-0,038447625	0,656	2,951	-0,922773634	0,718	-0,203869028	3,82	3,535	1,698853561
BG	19-04-1997	80220	BSP Bulgarian Socialist Party	30	4	4	-4	-4	0	0	0,776774925	0	0	2,398040717	0	NaN	5,458	6,143	-1,240660416
BG	25-06-2005	80220	BSP Bulgarian Socialist Party	30	4	4	4,136885902	-4	1	0	-0,680817661	0,38	0						
BG	19-04-1997	80229	DL Democratic Left	30	4	4	-4	-4	0	0	0,776774925	0	0			NaN			
BG	19-04-1997	80411	ODS United Democratic Forces	40	4	4	-4	-4	0	0	0,951298454	0	0			NaN			
BG	18-06-2001	80411	ODS United Democratic Forces	40	4	4	-4	-4	0	0	0,539276206	1,947	0	-3,713361801	0	NaN	-7,608	-11,198	1,609700803
BG	25-06-2005	80411	ODS United Democratic Forces	40	4	4	4,136885902	-4	1	0	0,456165318	0	0	3,713361801	0	NaN	2,357	2,357	0,367166067
BG	18-06-2001	80902	NDSV National Movement Simeon the Second	40	4	4	-4	-4	0	0	-0,419164477	0,189	0						
BG	25-06-2005	80902	NDSV National Movement Simeon the Second	40	4	4	4,136885902	-4	1	0	-0,297533673	0,778	0	-0,510736275	0	0	3,657	4,435	0,636245014
CH	23-10-1983	43320	SPS/PSS Social Democratic Party of Switzerland	30	1,692152493	1,666666667	9,390930191	9,936127347	1	1	-1,390123367	0	0	0	0	NaN	-0,58	-1,274	-0,781724322
CH	18-10-1987	43320	SPS/PSS Social Democratic Party of Switzerland	30	1,692152493	1,692152493	9,33171622	9,390930191	1	1	-0,344854613	0	0	0	0	NaN	3,472	5,787	1,76074637
CH	20-10-1991	43320	SPS/PSS Social Democratic Party of Switzerland	30	1,692152493	1,692152493	10,20814245	9,33171622	1	1	-1,650717481	0	0	0	0	NaN	-3,205	-5,173	0,204148231
CH	22-10-1995	43320	SPS/PSS Social Democratic Party of Switzerland	30	1,692152493	1,692152493	13,28666386	10,20814245	1	1	-1,03367435	0	0	0	0	NaN	-1,43	-5,103	-1,435183769
CH	24-10-1999	43320	SPS/PSS Social Democratic Party of Switzerland	30	1,692152493	1,692152493	20,85158824	13,28666386	1	1	-1,794328677	0,797	1,594	0,636001052	1,594	NaN	-4,364	-0,691	2,564822971
CH	19-10-2003	43320	SPS/PSS Social Democratic Party of Switzerland	30	1,692152493	1,692152493	24,95847556	20,85158824	1	1	-1,687960245	0,632	0,253	-1,42380652	-1,341	-0,761581921	4,928	1,893	-1,014301622
CH	21-10-2007	43320	SPS/PSS Social Democratic Party of Switzerland	30	1,692152493	1,692152493	27,20490005	24,95847556	1	1	-1,079759997	1,137	1,4	0,988900378	1,147	0,531914335	4,102	5,474	1,203219495
CH	23-10-2011	43320	SPS/PSS Social Democratic Party of Switzerland	30	1,692152493	1,692152493	24,86406846	27,20490005	1	1	-2,397877293	0	0	-0,201094909	-1,4	NaN	-3,85	-3,595	-0,807866568
CH	23-10-1983	43420	FDP/PRD Radical Democratic Party	40	1,692152493	1,666666667	9,390930191	9,936127347	1	1	1,292003946	1,395	0	-1,096734074	-0,127	-0,499017682	-1,904	5,155	1,223456655
CH	18-10-1987	43420	FDP/PRD Radical Democratic Party	40	1,692152493	1,692152493	9,33171622	9,390930191	1	1	0,395497289	0,507	0	-0,88757162	0	0	0,381	-5,033	-1,699785759
CH	20-10-1991	43420	FDP/PRD Radical Democratic Party	40	1,692152493	1,692152493	10,20814245	9,33171622	1	1	0,942522313	4,044	0	-0,302198929	0	0	-1,927	-3,955	0,156175285
CH	22-10-1995	43420	FDP/PRD Radical Democratic Party	40	1,692152493	1,692152493	13,28666386	10,20814245	1	1	1,223847225	0	0	3,135466389	0	NaN	7,76	9,567	3,152561611
CH	24-10-1999	43420	FDP/PRD Radical Democratic Party	40	1,692152493	1,692152493	20,85158824	13,28666386	1	1	1,115279285	0,542	1,084	0,587785776	1,084	NaN	6,834	5,298	-2,397439412
CH	19-10-2003	43420	FDP/PRD Radical Democratic Party	40	1,692152493	1,692152493	24,95847556	20,85158824	1	1	0,505557323	1,663	2,287	-0,285349911	1,203	-0,17535865	-6,247	-5,271	1,442485019
CH	21-10-2007	43420	FDP/PRD Radical Democratic Party	40	1,692152493	1,692152493	27,20490005	24,95847556	1	1	0,958466029	0,787	0	-1,400708096	-2,287	-1,157974684	0,106	-1,141	0,955858993
CH	23-10-2011	43420	FDP/PRD Radical Democratic Party	40	1,692152493	1,692152493	24,86406846	27,20490005	1	1	0,638216135	0	0,478	2,196230973	0,478	2	5,492	3,578	-0,201005755
CH	23-10-1983	43520	CVP/PDC Christian Democratic People’s Party of Switzerland	50	1,692152493	1,666666667	9,390930191	9,936127347	1	1	0,067222772	1,422	0	-3,891631672	-0,402	-2	0,877	-2,767	-0,210828908
CH	18-10-1987	43520	CVP/PDC Christian Democratic People’s Party of Switzerland	50	1,692152493	1,692152493	9,33171622	9,390930191	1	1	-0,03107279	0,148	0	0,847097904	0	0	2,04	1,029	-1,618798391
CH	20-10-1991	43520	CVP/PDC Christian Democratic People’s Party of Switzerland	50	1,692152493	1,692152493	10,20814245	9,33171622	1	1	-0,72922427	1,961	0	-1,466118653	0	0	-3,168	-4,134	1,069463017
CH	22-10-1995	43520	CVP/PDC Christian Democratic People’s Party of Switzerland	50	1,692152493	1,692152493	13,28666386	10,20814245	1	1	0,083374374	0	0	2,565050891	0	NaN	12,775	10,487	2,065592084
CH	24-10-1999	43520	CVP/PDC Christian Democratic People’s Party of Switzerland	50	1,692152493	1,692152493	20,85158824	13,28666386	1	1	0,433969297	0,59	2,192	1,262479754	2,192	NaN	-3,521	-0,317	-4,962926026
CH	19-10-2003	43520	CVP/PDC Christian Democratic People’s Party of Switzerland	50	1,692152493	1,692152493	24,95847556	20,85158824	1	1	1,367813437	3,922	13,072	-0,113950773	10,88	-0,037419389	-0,104	12,378	4,962926026
CH	21-10-2007	43520	CVP/PDC Christian Democratic People’s Party of Switzerland	50	1,692152493	1,692152493	27,20490005	24,95847556	1	1	-0,472906389	0	2,4	0,797381168	-10,672	0,461574673	-1,296	-17,782	-2,595254707
CH	23-10-2011	43520	CVP/PDC Christian Democratic People’s Party of Switzerland	50	1,692152493	1,692152493	24,86406846	27,20490005	1	1	0,09810577	0	0	-1,945910149	-2,4	NaN	7,665	12,519	1,333042176
CZ	26-10-2013	82430	ANO ANO 2011	40	5	5	1,888130827	-3,855102001	1	0	-0,386726364	0	0			NaN			
CZ	19-06-1998	82320	CSSD Czech Social Democratic Party	30	5	5	-1,097415112	3,005525468	0	1	0,012676204	0,657	0	-0,788135581	0	0	-1,651	-1,901	2,150661318
CZ	03-06-2006	82320	CSSD Czech Social Democratic Party	30	5	5	-4,823685879	-4,028419847	0	0	-0,575022378	0,319	0	-2,397084035	0	NaN	2,909	3,114	-0,142001351
CZ	29-05-2010	82320	CSSD Czech Social Democratic Party	30	5	5	-3,855102001	-4,823685879	0	0	-0,434789562	0,701	0,281	1,610377736	0,281	0,572301426	0,985	0,856	-0,615053465
CZ	26-10-2013	82320	CSSD Czech Social Democratic Party	30	5	5	1,888130827	-3,855102001	1	0	-1,297098691	0	0	0,786706298	-0,281	NaN	-4,411	-5,349	-2,092241873
CZ	19-06-1998	82220	KSCM Communist Party of Bohemia and Moravia	20	5	5	-1,097415112	3,005525468	0	1	-0,395149327	0,726	0	-1,945447185	0	NaN	-1,708	-3,165	1,643401688
CZ	03-06-2006	82220	KSCM Communist Party of Bohemia and Moravia	20	5	5	-4,823685879	-4,028419847	0	0	-0,837572398	0,765	0	-0,587198074	0	0	1,677	-0,994	-0,145531442
CZ	29-05-2010	82220	KSCM Communist Party of Bohemia and Moravia	20	5	5	-3,855102001	-4,823685879	0	0	-0,946213275	0	0	2,197435666	0	NaN	0,085	2,113	-1,816801404
CZ	26-10-2013	82220	KSCM Communist Party of Bohemia and Moravia	20	5	5	1,888130827	-3,855102001	1	0	-1,192747012	0	0	0	0	NaN	-1,935	-4,142	-0,353713747
CZ	19-06-1998	82413	ODS Civic Democratic Party	60	5	5	-1,097415112	3,005525468	0	1	1,188626125	0	0	0,506913023	-0,091	NaN	2,976	5,36	-0,216333831
CZ	03-06-2006	82413	ODS Civic Democratic Party	60	5	5	-4,823685879	-4,028419847	0	0	0,897176183	0	0	0	0	NaN	-0,321	0,631	2,833089233
CZ	29-05-2010	82413	ODS Civic Democratic Party	60	5	5	-3,855102001	-4,823685879	0	0	0,501711643	0	0,556	2,708796589	0,556	NaN	-7,371	-6,498	-1,184529643
CZ	26-10-2013	82413	ODS Civic Democratic Party	60	5	5	1,888130827	-3,855102001	1	0	0,199052568	0,168	0,336	-2,197800459	-0,22	-0,666666667	-0,416	-1,905	0,956476936
CZ	29-05-2010	82530	TOP09 Tradition, Responsibility, Prosperity 09	50	5	5	-3,855102001	-4,823685879	0	0	0,367720582	0	0			NaN			
CZ	26-10-2013	82530	TOP09 Tradition, Responsibility, Prosperity 09	50	5	5	1,888130827	-3,855102001	1	0	-0,379125374	0	0	0	0	NaN	-3,172	-2,752	3,417871883
