countryname;Year;Unemployment
Austria;1970;..
Bulgaria;1970;..
Croatia;1970;..
Czechia;1970;..
Denmark;1970;..
Estonia;1970;..
Germany;1970;..
Greece;1970;..
Ireland;1970;..
Italy;1970;..
Latvia;1970;..
Luxembourg;1970;..
Netherlands;1970;..
Norway;1970;..
Poland;1970;..
Portugal;1970;..
Romania;1970;..
Slovenia;1970;..
Spain;1970;..
Sweden;1970;..
Switzerland;1970;..
Austria;1971;..
Bulgaria;1971;..
Croatia;1971;..
Czechia;1971;..
Denmark;1971;..
Estonia;1971;..
Germany;1971;..
Greece;1971;..
Ireland;1971;..
Italy;1971;..
Latvia;1971;..
Luxembourg;1971;..
Netherlands;1971;..
Norway;1971;..
Poland;1971;..
Portugal;1971;..
Romania;1971;..
Slovenia;1971;..
Spain;1971;..
Sweden;1971;..
Switzerland;1971;..
Austria;1972;..
Bulgaria;1972;..
Croatia;1972;..
Czechia;1972;..
Denmark;1972;..
Estonia;1972;..
Germany;1972;..
Greece;1972;..
Ireland;1972;..
Italy;1972;..
Latvia;1972;..
Luxembourg;1972;..
Netherlands;1972;..
Norway;1972;..
Poland;1972;..
Portugal;1972;..
Romania;1972;..
Slovenia;1972;..
Spain;1972;..
Sweden;1972;..
Switzerland;1972;..
Austria;1973;..
Bulgaria;1973;..
Croatia;1973;..
Czechia;1973;..
Denmark;1973;..
Estonia;1973;..
Germany;1973;..
Greece;1973;..
Ireland;1973;..
Italy;1973;..
Latvia;1973;..
Luxembourg;1973;..
Netherlands;1973;..
Norway;1973;..
Poland;1973;..
Portugal;1973;..
Romania;1973;..
Slovenia;1973;..
Spain;1973;..
Sweden;1973;..
Switzerland;1973;..
Austria;1974;..
Bulgaria;1974;..
Croatia;1974;..
Czechia;1974;..
Denmark;1974;..
Estonia;1974;..
Germany;1974;..
Greece;1974;..
Ireland;1974;..
Italy;1974;..
Latvia;1974;..
Luxembourg;1974;..
Netherlands;1974;..
Norway;1974;..
Poland;1974;..
Portugal;1974;..
Romania;1974;..
Slovenia;1974;..
Spain;1974;..
Sweden;1974;..
Switzerland;1974;..
Austria;1975;..
Bulgaria;1975;..
Croatia;1975;..
Czechia;1975;..
Denmark;1975;..
Estonia;1975;..
Germany;1975;..
Greece;1975;..
Ireland;1975;..
Italy;1975;..
Latvia;1975;..
Luxembourg;1975;..
Netherlands;1975;..
Norway;1975;..
Poland;1975;..
Portugal;1975;..
Romania;1975;..
Slovenia;1975;..
Spain;1975;..
Sweden;1975;..
Switzerland;1975;..
Austria;1976;..
Bulgaria;1976;..
Croatia;1976;..
Czechia;1976;..
Denmark;1976;..
Estonia;1976;..
Germany;1976;..
Greece;1976;..
Ireland;1976;..
Italy;1976;..
Latvia;1976;..
Luxembourg;1976;..
Netherlands;1976;..
Norway;1976;..
Poland;1976;..
Portugal;1976;..
Romania;1976;..
Slovenia;1976;..
Spain;1976;..
Sweden;1976;..
Switzerland;1976;..
Austria;1977;..
Bulgaria;1977;..
Croatia;1977;..
Czechia;1977;..
Denmark;1977;..
Estonia;1977;..
Germany;1977;..
Greece;1977;..
Ireland;1977;..
Italy;1977;..
Latvia;1977;..
Luxembourg;1977;..
Netherlands;1977;..
Norway;1977;..
Poland;1977;..
Portugal;1977;..
Romania;1977;..
Slovenia;1977;..
Spain;1977;..
Sweden;1977;..
Switzerland;1977;..
Austria;1978;..
Bulgaria;1978;..
Croatia;1978;..
Czechia;1978;..
Denmark;1978;..
Estonia;1978;..
Germany;1978;..
Greece;1978;..
Ireland;1978;..
Italy;1978;..
Latvia;1978;..
Luxembourg;1978;..
Netherlands;1978;..
Norway;1978;..
Poland;1978;..
Portugal;1978;..
Romania;1978;..
Slovenia;1978;..
Spain;1978;..
Sweden;1978;..
Switzerland;1978;..
Austria;1979;..
Bulgaria;1979;..
Croatia;1979;..
Czechia;1979;..
Denmark;1979;..
Estonia;1979;..
Germany;1979;..
Greece;1979;..
Ireland;1979;..
Italy;1979;..
Latvia;1979;..
Luxembourg;1979;..
Netherlands;1979;..
Norway;1979;..
Poland;1979;..
Portugal;1979;..
Romania;1979;..
Slovenia;1979;..
Spain;1979;..
Sweden;1979;..
Switzerland;1979;..
Austria;1980;..
Bulgaria;1980;..
Croatia;1980;..
Czechia;1980;..
Denmark;1980;..
Estonia;1980;..
Germany;1980;..
Greece;1980;..
Ireland;1980;..
Italy;1980;..
Latvia;1980;..
Luxembourg;1980;..
Netherlands;1980;..
Norway;1980;..
Poland;1980;..
Portugal;1980;..
Romania;1980;..
Slovenia;1980;..
Spain;1980;..
Sweden;1980;..
Switzerland;1980;..
Austria;1981;..
Bulgaria;1981;..
Croatia;1981;..
Czechia;1981;..
Denmark;1981;..
Estonia;1981;..
Germany;1981;..
Greece;1981;..
Ireland;1981;..
Italy;1981;..
Latvia;1981;..
Luxembourg;1981;..
Netherlands;1981;..
Norway;1981;..
Poland;1981;..
Portugal;1981;..
Romania;1981;..
Slovenia;1981;..
Spain;1981;..
Sweden;1981;..
Switzerland;1981;..
Austria;1982;..
Bulgaria;1982;..
Croatia;1982;..
Czechia;1982;..
Denmark;1982;..
Estonia;1982;..
Germany;1982;..
Greece;1982;..
Ireland;1982;..
Italy;1982;..
Latvia;1982;..
Luxembourg;1982;..
Netherlands;1982;..
Norway;1982;..
Poland;1982;..
Portugal;1982;..
Romania;1982;..
Slovenia;1982;..
Spain;1982;..
Sweden;1982;..
Switzerland;1982;..
Austria;1983;..
Bulgaria;1983;..
Croatia;1983;..
Czechia;1983;..
Denmark;1983;..
Estonia;1983;..
Germany;1983;..
Greece;1983;..
Ireland;1983;..
Italy;1983;..
Latvia;1983;..
